"Pdel_P1"	"Pdel_P4"
"Podel.01G040200"	0	0
"Podel.01G040300"	0.139241717136715	0
"Podel.01G040400"	0.126435204691031	0.126435204691031
"Podel.01G040500"	2.15595808838694	2.33562126241918
"Podel.01G040600"	0.815383114174117	1.29720040891337
"Podel.01G040700"	0	0.0782964298293783
"Podel.01G040800"	0	0
"Podel.01G040900"	0.0994191353126053	0.0994191353126053
"Podel.01G041000"	0.546059600704485	0.58806418537406
"Podel.01G041100"	0.078188471980596	0.312753887922384
"Podel.01G041200"	0.476522599192666	0.397102165993888
"Podel.01G041300"	9.04714131344708	8.64325107623963
"Podel.01G041400"	4568.24604184991	4648.57505120291
"Podel.01G041500"	48.7335513052975	57.1123022314714
"Podel.01G041600"	3.67765462343067	4.2725693419268
"Podel.01G041700"	62.4798232803727	62.1923394309232
"Podel.01G041800"	210.278906966364	195.094424142597
"Podel.01G041900"	0	0.0860162143404281
"Podel.01G042000"	0	0
"Podel.01G042100"	0	0
"Podel.01G042200"	0	0
"Podel.01G042300"	1.27121249745143	1.47345084931871
"Podel.01G042400"	0.0973079181534573	0.0973079181534573
"Podel.01G042500"	0	0
"Podel.01G042600"	0	0
"Podel.01G042700"	0.0622802738099146	0.124560547619829
"Podel.01G042800"	0.25586549037305	0.5117309807461
"Podel.01G042900"	0.350240891280771	0.350240891280771
"Podel.01G043000"	0.246166403179839	0.140666516102765
"Podel.01G043100"	0.216987969275232	0.168768420547403
"Podel.01G043200"	0.0415201825399431	0
"Podel.01G043300"	0	0.0856265599153299
"Podel.01G043400"	1.13513730152634	0.810812358233097
"Podel.01G043500"	0.396685479565773	0.634696767305237
"Podel.01G043600"	0	0
"Podel.01G043700"	0	0
"Podel.01G043800"	0	0
"Podel.01G043900"	0	0
"Podel.01G044000"	0	0
"Podel.01G044100"	0	0
"Podel.01G044200"	0	0
"Podel.01G044300"	0.156000520781093	0.0520001735936976
"Podel.01G044400"	0	0.0229882190347328
"Podel.01G044500"	0.32010267741421	0.32010267741421
"Podel.01G044600"	0.242334142324475	0.212042374533916
"Podel.01G044700"	0	0
"Podel.01G044800"	0.263443388171555	0.112904309216381
"Podel.01G044900"	0	0
"Podel.01G045000"	5.11930875660454	6.57634278733045
"Podel.01G045100"	35.2159649249978	25.6270395357816
"Podel.01G045200"	2.38193062469957	2.67064948829952
"Podel.01G045300"	0.33854441375479	0.225696275836526
"Podel.01G045400"	1.67134031632628	1.2734021457724
"Podel.01G045500"	0	0
"Podel.01G045600"	0.0550679187219493	0
"Podel.01G045700"	0	0
"Podel.01G045800"	4.21774430427016	4.56346105052181
"Podel.01G045900"	0	0
"Podel.01G046000"	0	0
"Podel.01G046100"	0	0
"Podel.01G046200"	0	0
"Podel.01G046300"	0	0
"Podel.01G046400"	0	0
"Podel.01G046500"	0	0
"Podel.01G046600"	6.42747771987019	6.39642710286599
"Podel.01G046700"	0	0
"Podel.01G046800"	0	0
"Podel.01G046900"	0	0
"Podel.01G047000"	0.3488270007162	0
"Podel.01G047100"	0.0439582862821141	0
"Podel.01G047200"	0.134654055930964	0
"Podel.01G047300"	0	0
"Podel.01G047400"	0	0
"Podel.01G047500"	0	0
"Podel.01G047600"	0	0
"Podel.01G047700"	0	0
"Podel.01G047800"	0	0
"Podel.01G047900"	0	0
"Podel.01G048000"	0	0
"Podel.01G048100"	0	0
"Podel.01G048200"	6.96469460095073	7.73199146376734
"Podel.01G048300"	0	0
"Podel.01G048400"	0	0
"Podel.01G048500"	0	0
"Podel.01G048600"	0	0
"Podel.01G048700"	20.7804238929343	20.1035371211774
"Podel.01G048800"	0	0
"Podel.01G048900"	0	0
"Podel.01G049000"	6.51548387204215	5.7278979094876
"Podel.01G049100"	0	0
